Minutes5DK,Minutes5UTC,CO2Emission,PriceArea
2019-12-15T16:20:00,2019-12-15T15:20:00+00:00,71,DK1
2019-12-15T16:25:00,2019-12-15T15:25:00+00:00,71,DK1
2019-12-15T16:30:00,2019-12-15T15:30:00+00:00,74,DK1
2019-12-15T16:35:00,2019-12-15T15:35:00+00:00,73,DK1
2019-12-15T16:40:00,2019-12-15T15:40:00+00:00,74,DK1
2019-12-15T16:45:00,2019-12-15T15:45:00+00:00,74,DK1
2019-12-15T16:50:00,2019-12-15T15:50:00+00:00,74,DK1
2019-12-15T16:55:00,2019-12-15T15:55:00+00:00,82,DK1
2019-12-15T17:00:00,2019-12-15T16:00:00+00:00,89,DK1
2019-12-15T17:05:00,2019-12-15T16:05:00+00:00,90,DK1
2019-12-15T17:10:00,2019-12-15T16:10:00+00:00,91,DK1
2019-12-15T17:15:00,2019-12-15T16:15:00+00:00,92,DK1
2019-12-15T17:20:00,2019-12-15T16:20:00+00:00,93,DK1
2019-12-15T17:25:00,2019-12-15T16:25:00+00:00,93,DK1
2019-12-15T17:30:00,2019-12-15T16:30:00+00:00,96,DK1
2019-12-15T17:35:00,2019-12-15T16:35:00+00:00,96,DK1
2019-12-15T17:40:00,2019-12-15T16:40:00+00:00,97,DK1
2019-12-15T17:45:00,2019-12-15T16:45:00+00:00,97,DK1
2019-12-15T17:50:00,2019-12-15T16:50:00+00:00,101,DK1
2019-12-15T17:55:00,2019-12-15T16:55:00+00:00,106,DK1
2019-12-15T18:00:00,2019-12-15T17:00:00+00:00,114,DK1
2019-12-15T18:05:00,2019-12-15T17:05:00+00:00,117,DK1
2019-12-15T18:10:00,2019-12-15T17:10:00+00:00,121,DK1
2019-12-15T18:15:00,2019-12-15T17:15:00+00:00,127,DK1
2019-12-15T18:20:00,2019-12-15T17:20:00+00:00,130,DK1
2019-12-15T18:25:00,2019-12-15T17:25:00+00:00,131,DK1
2019-12-15T18:30:00,2019-12-15T17:30:00+00:00,134,DK1
2019-12-15T18:35:00,2019-12-15T17:35:00+00:00,136,DK1
2019-12-15T18:40:00,2019-12-15T17:40:00+00:00,137,DK1
2019-12-15T18:45:00,2019-12-15T17:45:00+00:00,137,DK1
2019-12-15T18:50:00,2019-12-15T17:50:00+00:00,137,DK1
2019-12-15T18:55:00,2019-12-15T17:55:00+00:00,139,DK1
2019-12-15T19:00:00,2019-12-15T18:00:00+00:00,142,DK1
2019-12-15T19:05:00,2019-12-15T18:05:00+00:00,144,DK1
2019-12-15T19:10:00,2019-12-15T18:10:00+00:00,145,DK1
2019-12-15T19:15:00,2019-12-15T18:15:00+00:00,148,DK1
2019-12-15T19:20:00,2019-12-15T18:20:00+00:00,146,DK1
2019-12-15T19:25:00,2019-12-15T18:25:00+00:00,146,DK1
2019-12-15T19:30:00,2019-12-15T18:30:00+00:00,148,DK1
2019-12-15T19:35:00,2019-12-15T18:35:00+00:00,148,DK1
2019-12-15T19:40:00,2019-12-15T18:40:00+00:00,148,DK1
2019-12-15T19:45:00,2019-12-15T18:45:00+00:00,149,DK1
2019-12-15T19:50:00,2019-12-15T18:50:00+00:00,149,DK1
2019-12-15T19:55:00,2019-12-15T18:55:00+00:00,147,DK1
2019-12-15T20:00:00,2019-12-15T19:00:00+00:00,144,DK1
2019-12-15T20:05:00,2019-12-15T19:05:00+00:00,140,DK1
2019-12-15T20:10:00,2019-12-15T19:10:00+00:00,141,DK1
2019-12-15T20:15:00,2019-12-15T19:15:00+00:00,143,DK1
2019-12-15T20:20:00,2019-12-15T19:20:00+00:00,142,DK1
2019-12-15T20:25:00,2019-12-15T19:25:00+00:00,142,DK1
2019-12-15T20:30:00,2019-12-15T19:30:00+00:00,139,DK1
2019-12-15T20:35:00,2019-12-15T19:35:00+00:00,141,DK1
2019-12-15T20:40:00,2019-12-15T19:40:00+00:00,140,DK1
2019-12-15T20:45:00,2019-12-15T19:45:00+00:00,140,DK1
2019-12-15T20:50:00,2019-12-15T19:50:00+00:00,142,DK1
2019-12-15T20:55:00,2019-12-15T19:55:00+00:00,139,DK1
2019-12-15T21:00:00,2019-12-15T20:00:00+00:00,134,DK1
2019-12-15T21:05:00,2019-12-15T20:05:00+00:00,134,DK1
2019-12-15T21:10:00,2019-12-15T20:10:00+00:00,137,DK1
2019-12-15T21:15:00,2019-12-15T20:15:00+00:00,137,DK1
2019-12-15T21:20:00,2019-12-15T20:20:00+00:00,136,DK1
2019-12-15T21:25:00,2019-12-15T20:25:00+00:00,134,DK1
2019-12-15T21:30:00,2019-12-15T20:30:00+00:00,135,DK1
2019-12-15T21:35:00,2019-12-15T20:35:00+00:00,136,DK1
2019-12-15T21:40:00,2019-12-15T20:40:00+00:00,136,DK1
2019-12-15T21:45:00,2019-12-15T20:45:00+00:00,133,DK1
2019-12-15T21:50:00,2019-12-15T20:50:00+00:00,131,DK1
2019-12-15T21:55:00,2019-12-15T20:55:00+00:00,127,DK1
2019-12-15T22:00:00,2019-12-15T21:00:00+00:00,121,DK1
2019-12-15T22:05:00,2019-12-15T21:05:00+00:00,115,DK1
2019-12-15T22:10:00,2019-12-15T21:10:00+00:00,115,DK1
2019-12-15T22:15:00,2019-12-15T21:15:00+00:00,113,DK1
2019-12-15T22:20:00,2019-12-15T21:20:00+00:00,113,DK1
2019-12-15T22:25:00,2019-12-15T21:25:00+00:00,114,DK1
